state,name,localid,year,p1,p2,p3,p4,p1_impute,p2_impute
LA,West Feliciana Parish,063,2013,1.2,7.829999999999999,68.67,22.29,0,0
LA,Winn Parish,064,2013,2.11,4.2299999999999995,50,43.66,0,0
LA,Zachary Community Parish,067,2013,0.9400000000000001,3.1300000000000003,51.24999999999999,44.690000000000005,0,0
LA,Acadia Parish,001,2014,1,2,37,60,1,0
LA,Allen Parish,002,2014,1,2,45,52,1,0
LA,Ascension Parish,003,2014,0,7.000000000000001,70,23,1,0
LA,Assumption Parish,004,2014,2,16,64,18,0,0
LA,Avoyelles Parish,005,2014,7.000000000000001,13,55.00000000000001,25,0,0
LA,Beauregard Parish,006,2014,0,0,21,79,1,1
LA,Bienville Parish,007,2014,1,12,48,39,1,0
LA,Bossier Parish,008,2014,0,1,25,74,1,1
LA,Caddo Parish,009,2014,2,3,38,56.00000000000001,0,0
LA,Calcasieu Parish,010,2014,1,2,34,63,1,0
LA,Caldwell Parish,011,2014,4,4,48,44,0,0
LA,Cameron Parish,012,2014,0,3,28.999999999999996,68,1,0
LA,Catahoula Parish,013,2014,0,4,35,61,1,0
LA,Claiborne Parish,014,2014,1,4,56.00000000000001,39,1,0
LA,Concordia Parish,015,2014,0,2,34,64,1,1
LA,DeSoto Parish,016,2014,2,1,47,50,0,1
LA,East Baton Rouge Parish + Recovery Parish Baton Rouge,017,2014,2,6,43,49,0,0
LA,East Carroll Parish,018,2014,6,4,68,23,0,0
LA,East Feliciana Parish,019,2014,2,14.000000000000002,70,14.000000000000002,0,0
LA,Evangeline Parish,020,2014,1,3,45,51,1,0
LA,Franklin Parish,021,2014,0,2,48,50,1,1
LA,Grant Parish,022,2014,0,5,55.00000000000001,40,1,0
LA,Iberia Parish,023,2014,0,5,57.99999999999999,37,1,0
LA,Iberville Parish,024,2014,2,12,63,24,0,0
LA,Jackson Parish,025,2014,0,1,44,55.00000000000001,1,1
LA,Jefferson Parish,026,2014,3,10,62,25,0,0
LA,Jefferson Davis Parish,027,2014,0,2,47,51,1,0
LA,Lafayette Parish,028,2014,2,4,46,48,0,0
LA,Lafourche Parish,029,2014,1,4,56.99999999999999,38,1,0
LA,LaSalle Parish,030,2014,2,8,66,24,0,0
LA,Lincoln Parish,031,2014,0,2,25,73,1,1
LA,Livingston Parish,032,2014,0,2,31,67,1,1
LA,Madison Parish,033,2014,4,21,65,9,0,0
LA,Morehouse Parish,034,2014,1,8,51,40,1,0
LA,Natchitoches Parish,035,2014,2,6,56.99999999999999,35,0,0
LA,Orleans Parish + Recovery Parish New Orleans,036,2014,7.000000000000001,14.000000000000002,57.99999999999999,21,0,0
LA,Ouachita Parish,037,2014,0,1,28.999999999999996,70,1,1
LA,Plaquemines Parish,038,2014,2,3,55.00000000000001,40,0,0
LA,Pointe Coupee Parish,039,2014,0,7.000000000000001,65,28.000000000000004,1,0
