localid,name,e4,e3,e1,eu,et,year,e2,state
37,leon,1930,234,0,357,2525,2013,4,FL
38,levy,147,184,1,57,396,2013,7,FL
39,liberty,0,110,3,13,132,2013,6,FL
40,madison,80,77,0,49,209,2013,3,FL
41,manatee,1322,1138,0,575,3153,2013,118,FL
42,marion,538,2076,1,300,2933,2013,18,FL
43,martin,748,390,0,142,1280,2013,0,FL
44,monroe,199,217,0,142,562,2013,4,FL
45,nassau,252,421,0,34,712,2013,5,FL
46,okaloosa,1530,263,0,115,1910,2013,2,FL
47,okeechobee,14,388,0,42,450,2013,6,FL
48,orange,776,10195,1,702,11796,2013,122,FL
49,osceola,1119,2456,3,198,3810,2013,34,FL
50,palm_beach,4311,7090,4,1311,12737,2013,21,FL
51,pasco,184,3651,0,895,4797,2013,67,FL
52,pinellas,2064,4297,0,1226,7955,2013,368,FL
53,polk,2395,2763,0,1864,7022,2013,0,FL
54,putnam,142,477,0,52,676,2013,5,FL
55,st._johns,800,1018,0,121,1947,2013,8,FL
56,st._lucie,3,63,0,2673,2772,2013,33,FL
57,santa_rosa,999,653,1,168,1829,2013,8,FL
58,sarasota,1398,1316,3,504,3271,2013,50,FL
59,seminole,2871,1337,0,223,4463,2013,32,FL
60,sumter,144,340,0,43,536,2013,9,FL
61,suwannee,70,259,0,51,410,2013,30,FL
62,taylor,8,166,0,59,233,2013,0,FL
63,union,63,95,0,9,173,2013,6,FL
64,volusia,1207,2560,5,370,4235,2013,93,FL
65,wakulla,119,171,0,45,341,2013,6,FL
66,walton,176,312,0,96,608,2013,24,FL
67,washington,56,203,0,59,334,2013,16,FL
68,deaf/blind,75,42,1,0,121,2013,3,FL
69,dozier/okeec,4,8,0,0,12,2013,0,FL
71,florida_virtual,873,294,0,1760,2930,2013,3,FL
72,fau_lab_school,22,20,0,87,129,2013,0,FL
73,fsu_lab_school,33,88,0,17,146,2013,8,FL
74,famu_lab_scho,2,22,0,9,38,2013,5,FL
75,uf_lab_school,46,18,0,5,70,2013,1,FL
02,baker,116,138,2,23,317,2014,38,FL
03,bay,638,1071,7,211,1949,2014,22,FL
04,bradford,20,146,1,102,292,2014,23,FL
05,brevard,3064,1359,5,391,4843,2014,24,FL
06,broward,736,13158,25,2702,16708,2014,87,FL
07,calhoun,6,140,0,32,179,2014,1,FL
08,charlotte,287,645,1,71,1017,2014,13,FL
09,citrus,536,400,0,189,1146,2014,21,FL
10,clay,1916,519,0,29,2465,2014,1,FL
11,collier,168,2889,1,28,3166,2014,80,FL
12,columbia,504,168,0,43,720,2014,5,FL
13,dade,7931,11762,52,4189,24457,2014,523,FL
14,desoto,50,202,0,41,332,2014,39,FL
15,dixie,32,63,0,5,120,2014,20,FL
16,duval,1149,5870,6,948,8623,2014,650,FL
17,escambia,607,1803,17,368,2933,2014,138,FL
18,flagler,536,156,0,97,806,2014,17,FL
19,franklin,2,62,0,15,92,2014,13,FL
20,gadsden,102,223,0,169,503,2014,9,FL
21,gilchrist,87,48,1,21,157,2014,0,FL
22,glades,48,75,0,3,127,2014,1,FL
23,gulf,20,97,0,15,132,2014,0,FL
24,hamilton,20,60,0,21,126,2014,25,FL
25,hardee,38,288,1,0,354,2014,27,FL
26,hendry,0,435,0,0,435,2014,0,FL
27,hernando,888,603,0,112,1603,2014,0,FL
28,highlands,246,498,0,58,814,2014,12,FL
29,hillsborough,6149,6964,225,1957,15728,2014,433,FL
30,holmes,19,193,0,20,241,2014,9,FL
31,indian_river,267,480,9,187,1039,2014,96,FL
32,jackson,25,400,1,84,532,2014,22,FL
33,jefferson,12,55,0,26,97,2014,4,FL
34,lafayette,43,24,0,1,68,2014,0,FL
35,lake,384,2012,0,713,3144,2014,35,FL
36,lee,1204,3984,66,531,5870,2014,85,FL
37,leon,1783,256,2,393,2468,2014,34,FL
38,levy,90,221,0,64,385,2014,10,FL
39,liberty,32,54,0,15,110,2014,9,FL
40,madison,55,87,1,74,221,2014,4,FL
41,manatee,1303,1086,1,733,3181,2014,58,FL
42,marion,353,2090,0,318,2780,2014,19,FL
43,martin,462,676,0,109,1247,2014,0,FL
44,monroe,254,196,0,59,510,2014,1,FL
45,nassau,490,163,0,47,705,2014,5,FL
46,okaloosa,1510,307,0,68,1890,2014,5,FL
47,okeechobee,79,298,0,38,424,2014,9,FL
48,orange,8833,2019,0,1071,11953,2014,30,FL
49,osceola,2224,1153,0,252,3679,2014,50,FL
50,palm_beach,4964,6392,1,1414,12793,2014,22,FL
51,pasco,3472,747,0,596,4855,2014,40,FL
52,pinellas,1715,4889,0,1018,7689,2014,67,FL
53,polk,1990,3545,5,982,6747,2014,225,FL
54,putnam,38,517,0,109,668,2014,4,FL
55,st._johns,974,987,0,108,2074,2014,5,FL
56,st._lucie,2,63,4,2492,2582,2014,21,FL
57,santa_rosa,1090,532,7,126,1763,2014,8,FL
58,sarasota,1506,1238,2,551,3339,2014,42,FL
59,seminole,2724,1551,0,357,4655,2014,23,FL
60,sumter,181,326,0,49,562,2014,6,FL
61,suwannee,71,198,6,92,407,2014,40,FL
62,taylor,8,156,0,38,212,2014,10,FL
63,union,110,0,0,73,183,2014,0,FL
64,volusia,985,2897,3,329,4385,2014,171,FL
65,wakulla,126,153,0,49,332,2014,4,FL
66,walton,189,318,0,91,608,2014,10,FL
67,washington,52,189,0,79,324,2014,4,FL
68,deaf/blind,63,50,0,7,125,2014,5,FL
69,wash_special,5,5,0,2,12,2014,0,FL
71,fl_virtual,1100,196,0,1270,2568,2014,2,FL
72,fau_lab_sch,38,3,0,48,89,2014,0,FL
73,fsu_lab_sch,4,96,0,43,148,2014,5,FL
74,famu_lab_sch,0,0,0,33,33,2014,0,FL
75,uf_lab_sch,48,7,0,13,68,2014,0,FL
01,alachua,1614,92,0,189,1902,2015,7,FL
02,baker,135,155,0,32,325,2015,3,FL
03,bay,784,949,1,193,1956,2015,29,FL
04,bradford,11,156,0,95,274,2015,12,FL
05,brevard,2566,1983,0,363,4953,2015,41,FL
06,broward,2040,12403,12,2399,16973,2015,119,FL
07,calhoun,13,126,0,42,181,2015,0,FL
08,charlotte,317,629,2,62,1019,2015,9,FL
09,citrus,594,297,0,193,1100,2015,16,FL
10,clay,2072,488,0,15,2575,2015,0,FL
11,collier,153,2685,0,345,3200,2015,17,FL
12,columbia,397,225,0,45,676,2015,9,FL
13,dade,5978,11570,5,6128,23910,2015,229,FL
14,desoto,168,103,0,47,322,2015,4,FL
15,dixie,1,120,0,6,128,2015,1,FL
16,duval,1076,6029,0,1137,8428,2015,186,FL
17,escambia,407,2005,61,373,2900,2015,54,FL
18,flagler,497,187,0,88,785,2015,13,FL
19,franklin,8,58,0,11,81,2015,4,FL
20,gadsden,119,176,0,142,448,2015,11,FL
21,gilchrist,66,79,5,10,160,2015,0,FL
22,glades,63,57,0,14,139,2015,5,FL
23,gulf,32,85,0,6,123,2015,0,FL
24,hamilton,35,55,0,37,142,2015,15,FL
25,hardee,103,250,0,0,355,2015,2,FL
26,hendry,224,179,1,49,460,2015,7,FL
27,hernando,1052,444,0,160,1658,2015,2,FL
28,highlands,192,537,0,55,830,2015,46,FL
29,hillsborough,6803,6698,124,2067,16049,2015,357,FL
30,holmes,69,142,0,24,243,2015,8,FL
31,indian_river,341,255,1,409,1060,2015,54,FL
32,jackson,24,402,1,67,510,2015,16,FL
33,jefferson,16,45,0,25,86,2015,0,FL
34,lafayette,53,15,0,2,70,2015,0,FL
35,lake,274,2118,0,763,3181,2015,26,FL
36,lee,2048,3172,32,599,5937,2015,86,FL
37,leon,1785,181,0,361,2355,2015,28,FL
38,levy,94,212,0,53,379,2015,20,FL
39,liberty,4,75,0,32,117,2015,6,FL
40,madison,38,105,0,67,211,2015,1,FL
41,manatee,324,1889,0,1205,3428,2015,10,FL
42,marion,537,1948,2,373,2863,2015,3,FL
43,martin,764,322,3,170,1292,2015,33,FL
44,monroe,306,174,0,40,522,2015,2,FL
45,nassau,531,119,0,81,731,2015,0,FL
46,okaloosa,1637,188,0,126,1953,2015,2,FL
47,okeechobee,60,300,0,53,431,2015,18,FL
48,orange,256,10406,0,1604,12315,2015,49,FL
49,osceola,1593,1724,75,259,3744,2015,93,FL
50,palm_beach,4828,6592,1,1605,13117,2015,91,FL
51,pasco,2819,336,0,1859,5038,2015,24,FL
52,pinellas,1777,4406,0,1141,7398,2015,74,FL
53,polk,2139,3367,1,964,6712,2015,241,FL
54,putnam,192,373,0,141,717,2015,11,FL
55,st._johns,913,968,0,95,1985,2015,9,FL
56,st._lucie,1489,636,18,451,2611,2015,17,FL
57,santa_rosa,5,2,0,1836,1843,2015,0,FL
58,sarasota,1506,1214,1,687,3443,2015,35,FL
59,seminole,2877,1335,0,380,4601,2015,9,FL
60,sumter,242,265,0,96,608,2015,5,FL
61,suwannee,0,0,0,408,408,2015,0,FL
62,taylor,3,165,0,42,212,2015,2,FL
63,union,0,156,0,13,169,2015,0,FL
64,volusia,995,3034,0,400,4526,2015,97,FL
65,wakulla,107,169,0,55,331,2015,0,FL
66,walton,140,316,0,123,602,2015,23,FL
67,washington,38,191,0,81,315,2015,5,FL
68,fsdb,0,0,0,121,121,2015,0,FL
69,washington_special,0,0,0,13,13,2015,0,FL
71,fl_virtual,1023,416,1,398,1850,2015,12,FL
72,fau_lab_school,89,26,0,34,149,2015,0,FL
73,fsu_lab_school,17,123,0,14,161,2015,7,FL
74,famu_lab_school,0,0,0,41,41,2015,0,FL
75,uf_lab_school,55,7,0,0,65,2015,3,FL
01,alachua,1396,265,1,112,1793,2016,19,FL
02,baker,194,94,0,18,318,2016,12,FL
03,bay,960,729,3,288,1998,2016,18,FL
04,bradford,22,164,0,53,256,2016,17,FL
05,brevard,3731,742,1,370,4860,2016,16,FL
06,broward,2656,11645,8,3005,17507,2016,193,FL
07,calhoun,26,107,0,30,164,2016,1,FL
08,charlotte,301,636,1,72,1037,2016,27,FL
09,citrus,671,242,0,179,1103,2016,11,FL
10,clay,2119,391,1,60,2573,2016,2,FL
11,collier,703,2429,1,37,3187,2016,17,FL
12,columbia,339,269,0,59,694,2016,27,FL
13,dade,6170,12356,15,3698,22601,2016,362,FL
14,desoto,196,91,0,33,321,2016,1,FL
15,dixie,6,130,0,2,138,2016,0,FL
16,duval,1729,5257,5,807,8201,2016,403,FL
