state,year,localid,name,e1,e2,e3,e4,et,e1_impute,e2_impute,e3_impute,e4_impute,p1,p2,p3,p4,ps
OH,2019,047266,greeneview local,NA,NA,NA,NA,82,NA,NA,NA,NA,0,2.5,44.4,53.1,0
OH,2014,047274,bellbrook-sugarcreek local school district,0,0,0,136,136,1,1,1,0,NA,NA,NA,NA,NA
OH,2017,047274,bellbrook-sugarcreek local,NA,NA,NA,NA,142,NA,NA,NA,NA,0,0,2.040816,95.918367,0.02040816
OH,2018,047274,bellbrook-sugarcreek local,NA,NA,NA,NA,149,NA,NA,NA,NA,0,0,3.3000000000000003,95.4,1.3
OH,2019,047274,bellbrook-sugarcreek local,NA,NA,NA,NA,149,NA,NA,NA,NA,0,1.9000000000000001,4.5,93.5,0
OH,2014,047308,rolling hills local,0,4,37,61,102,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047308,rolling hills local,NA,NA,NA,NA,110,NA,NA,NA,NA,0,0.943396,29.245283,69.81132,0
OH,2018,047308,rolling hills local,NA,NA,NA,NA,99,NA,NA,NA,NA,0,1.9000000000000001,26.400000000000002,71.7,0
OH,2019,047308,rolling hills local,NA,NA,NA,NA,103,NA,NA,NA,NA,0,3.9,29.1,67,0
OH,2014,047332,finneytown local,0,7,52,28,87,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047332,finneytown local,NA,NA,NA,NA,97,NA,NA,NA,NA,0,0,47.169811,50.94339599999999,0.01886792
OH,2018,047332,finneytown local,NA,NA,NA,NA,93,NA,NA,NA,NA,0,1,38.2,59.800000000000004,1
OH,2019,047332,finneytown local,NA,NA,NA,NA,97,NA,NA,NA,NA,0,0,38.1,58.800000000000004,3.1
OH,2017,047340,forest hills local,NA,NA,NA,NA,423,NA,NA,NA,NA,0,0,6.25,93.75,0
OH,2018,047340,forest hills local,NA,NA,NA,NA,443,NA,NA,NA,NA,0,0,8.3,91.3,0.4
OH,2019,047340,forest hills local,NA,NA,NA,NA,442,NA,NA,NA,NA,0,0,9,90.60000000000001,0.4
OH,2014,047365,northwest local,12,113,329,32,486,0,0,0,0,NA,NA,NA,NA,NA
OH,2017,047365,northwest local,NA,NA,NA,NA,493,NA,NA,NA,NA,0.572519,16.603053000000003,54.961832,27.862595000000002,0
OH,2018,047365,northwest local,NA,NA,NA,NA,523,NA,NA,NA,NA,0,10.3,42,46.5,1.3
OH,2019,047365,northwest local,NA,NA,NA,NA,524,NA,NA,NA,NA,0.2,15.1,40.300000000000004,42.2,2.2
OH,2014,047373,oak hills local,7,54,216,138,415,0,0,0,0,NA,NA,NA,NA,NA
OH,2017,047373,oak hills local,NA,NA,NA,NA,445,NA,NA,NA,NA,0,1.587301,12.471655,85.260771,0.00680272
OH,2018,047373,oak hills local,NA,NA,NA,NA,437,NA,NA,NA,NA,0,3.2,15.3,81.5,0
OH,2019,047373,oak hills local,NA,NA,NA,NA,440,NA,NA,NA,NA,0,4.8,16.6,78.3,0.2
OH,2014,047381,southwest local,0,3,111,56,170,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047381,southwest local,NA,NA,NA,NA,188,NA,NA,NA,NA,0,0.561797,20.786516,78.089887,0.00561797
OH,2018,047381,southwest local,NA,NA,NA,NA,197,NA,NA,NA,NA,0,1,14.1,81.8,3
OH,2019,047381,southwest local,NA,NA,NA,NA,207,NA,NA,NA,NA,0,0.5,18,79.4,2.1
OH,2017,047399,three rivers local,NA,NA,NA,NA,114,NA,NA,NA,NA,0,0,62.068965,37.068965,0.00862069
OH,2018,047399,three rivers local,NA,NA,NA,NA,114,NA,NA,NA,NA,0,0,69.5,24.6,5.9
OH,2019,047399,three rivers local,NA,NA,NA,NA,124,NA,NA,NA,NA,0,5.4,43.2,48.6,2.7
OH,2014,047407,hancock county esc,0,0,8,12,20,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047415,arcadia local,NA,NA,NA,NA,38,NA,NA,NA,NA,0,2.631578,31.578947000000003,65.789473,0
OH,2018,047415,arcadia local,NA,NA,NA,NA,39,NA,NA,NA,NA,0,0,25,72.5,2.5
OH,2019,047415,arcadia local,NA,NA,NA,NA,40,NA,NA,NA,NA,0,2.6,15.4,76.9,5.1000000000000005
OH,2014,047423,arlington local,0,0,9,29,38,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047423,arlington local,NA,NA,NA,NA,45,NA,NA,NA,NA,0,0,29.545454,70.454545,0
OH,2018,047423,arlington local,NA,NA,NA,NA,42,NA,NA,NA,NA,0,0,24.400000000000002,73.3,2.2
OH,2019,047423,arlington local,NA,NA,NA,NA,43,NA,NA,NA,NA,0,0,30.2,69.8,0
OH,2014,047431,cory-rawson local,0,0,20,21,41,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047431,cory-rawson local,NA,NA,NA,NA,44,NA,NA,NA,NA,0,2.222222,33.333332999999996,64.444444,0
OH,2018,047431,cory-rawson local,NA,NA,NA,NA,42,NA,NA,NA,NA,0,0,45.7,54.300000000000004,0
OH,2019,047431,cory-rawson local,NA,NA,NA,NA,45,NA,NA,NA,NA,0,6.5,37,56.5,0
OH,2014,047449,liberty-benton local,0,0,0,88,88,1,1,1,0,NA,NA,NA,NA,NA
OH,2017,047449,liberty-benton local,NA,NA,NA,NA,88,NA,NA,NA,NA,0,1.0989010000000001,37.362637,61.538461,0
OH,2018,047449,liberty-benton local,NA,NA,NA,NA,89,NA,NA,NA,NA,0,0,47.800000000000004,52.2,0
OH,2019,047449,liberty-benton local,NA,NA,NA,NA,98,NA,NA,NA,NA,0,1.1,30.400000000000002,68.5,0
OH,2014,047456,mccomb local,0,4,33,9,46,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047456,mccomb local,NA,NA,NA,NA,53,NA,NA,NA,NA,0,6.521739,69.565217,23.913043000000002,0
OH,2018,047456,mccomb local,NA,NA,NA,NA,51,NA,NA,NA,NA,0,2,68.60000000000001,29.400000000000002,0
OH,2019,047456,mccomb local,NA,NA,NA,NA,54,NA,NA,NA,NA,0,2,52,46,0
OH,2014,047464,van buren local,0,0,61,3,64,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047464,van buren local,NA,NA,NA,NA,69,NA,NA,NA,NA,0,0,26.086956,73.913043,0
OH,2018,047464,van buren local,NA,NA,NA,NA,70,NA,NA,NA,NA,0,0,33.3,66.7,0
OH,2019,047464,van buren local,NA,NA,NA,NA,72,NA,NA,NA,NA,0,2.8000000000000003,33.3,63.9,0
OH,2014,047472,vanlue local,0,4,11,5,20,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047472,vanlue local,NA,NA,NA,NA,20,NA,NA,NA,NA,0,14.285713999999999,52.380952,33.333332999999996,0
OH,2018,047472,vanlue local,NA,NA,NA,NA,17,NA,NA,NA,NA,0,19,57.1,23.8,0
OH,2019,047472,vanlue local,NA,NA,NA,NA,18,NA,NA,NA,NA,0,14.3,61.9,19,4.8
OH,2014,047480,hardin county esc,0,0,3,0,3,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,047498,hardin northern local,0,4,17,14,35,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047498,hardin northern local,NA,NA,NA,NA,38,NA,NA,NA,NA,0,5.555555,55.555555,38.888888,0
OH,2018,047498,hardin northern local,NA,NA,NA,NA,35,NA,NA,NA,NA,0,2.8000000000000003,66.7,30.6,0
OH,2019,047498,hardin northern local,NA,NA,NA,NA,36,NA,NA,NA,NA,0,2.8000000000000003,77.8,19.400000000000002,0
OH,2014,047506,ridgemont local,0,9,9,17,35,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047506,ridgemont local,NA,NA,NA,NA,47,NA,NA,NA,NA,0,8.333333,63.888888,27.777776999999997,0
OH,2018,047506,ridgemont local,NA,NA,NA,NA,47,NA,NA,NA,NA,0,7.9,52.6,39.5,0
OH,2019,047506,ridgemont local,NA,NA,NA,NA,47,NA,NA,NA,NA,0,2.6,42.1,52.6,2.6
OH,2014,047514,riverdale local,0,4,41,17,62,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047514,riverdale local,NA,NA,NA,NA,72,NA,NA,NA,NA,0,0,26.760562999999998,70.422535,0.02816901
OH,2018,047514,riverdale local,NA,NA,NA,NA,69,NA,NA,NA,NA,0,1.4000000000000001,22.900000000000002,72.9,2.9
OH,2019,047514,riverdale local,NA,NA,NA,NA,72,NA,NA,NA,NA,0,1.4000000000000001,35.7,62.9,0
OH,2014,047522,upper scioto valley local,0,0,17,21,38,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047522,upper scioto valley local,NA,NA,NA,NA,39,NA,NA,NA,NA,0,0,77.777777,22.222222,0
OH,2018,047522,upper scioto valley local,NA,NA,NA,NA,34,NA,NA,NA,NA,0,0,86.10000000000001,13.9,0
OH,2019,047522,upper scioto valley local,NA,NA,NA,NA,38,NA,NA,NA,NA,0,6.1000000000000005,72.7,21.2,0
OH,2014,047548,conotton valley union local,0,14,15,3,32,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047548,conotton valley union local,NA,NA,NA,NA,32,NA,NA,NA,NA,0,37.5,46.875,12.5,0.03125
OH,2018,047548,conotton valley union local,NA,NA,NA,NA,31,NA,NA,NA,NA,2.7,27,64.9,0,5.4
OH,2019,047548,conotton valley union local,NA,NA,NA,NA,29,NA,NA,NA,NA,0,8.3,77.8,8.3,5.6000000000000005
OH,2017,047571,holgate local,NA,NA,NA,NA,36,NA,NA,NA,NA,0,3.030303,27.272727000000003,69.696969,0
OH,2018,047571,holgate local,NA,NA,NA,NA,35,NA,NA,NA,NA,0,3,33.3,60.6,3
OH,2019,047571,holgate local,NA,NA,NA,NA,36,NA,NA,NA,NA,0,2.9,32.4,64.7,0
OH,2017,047589,liberty center local,NA,NA,NA,NA,73,NA,NA,NA,NA,0,1.234567,20.987654,71.60493799999999,0.06172839
OH,2018,047589,liberty center local,NA,NA,NA,NA,75,NA,NA,NA,NA,0,0,31.6,68.4,0
OH,2019,047589,liberty center local,NA,NA,NA,NA,77,NA,NA,NA,NA,0,0,22.5,72.5,5
OH,2014,047597,patrick henry local,0,0,48,16,64,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047597,patrick henry local,NA,NA,NA,NA,73,NA,NA,NA,NA,0,1.515151,59.090909,39.393939,0
OH,2018,047597,patrick henry local,NA,NA,NA,NA,63,NA,NA,NA,NA,0,1.5,53,45.5,0
OH,2019,047597,patrick henry local,NA,NA,NA,NA,66,NA,NA,NA,NA,0,3.1,43.800000000000004,53.1,0
OH,2014,047613,bright local,0,9,24,16,49,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047613,bright local,NA,NA,NA,NA,49,NA,NA,NA,NA,0,0,39.130433999999994,58.695651999999995,0.02173913
OH,2018,047613,bright local,NA,NA,NA,NA,46,NA,NA,NA,NA,0,2.2,37.800000000000004,57.800000000000004,2.2
OH,2019,047613,bright local,NA,NA,NA,NA,49,NA,NA,NA,NA,0,6.3,29.2,64.6,0
OH,2017,047621,fairfield local,NA,NA,NA,NA,59,NA,NA,NA,NA,0,10.90909,23.636363,63.636362999999996,0.01818181
OH,2018,047621,fairfield local,NA,NA,NA,NA,55,NA,NA,NA,NA,0,24.6,64.9,10.5,0
OH,2019,047621,fairfield local,NA,NA,NA,NA,56,NA,NA,NA,NA,0,3.5,31.6,61.4,3.5
OH,2014,047639,lynchburg-clay local,0,0,25,52,77,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047639,lynchburg-clay local,NA,NA,NA,NA,80,NA,NA,NA,NA,0,0,14.102564000000001,85.897435,0
OH,2018,047639,lynchburg-clay local,NA,NA,NA,NA,80,NA,NA,NA,NA,0,2.5,12.5,85,0
OH,2019,047639,lynchburg-clay local,NA,NA,NA,NA,80,NA,NA,NA,NA,0,1.3,20.3,78.5,0
OH,2014,047688,east holmes local,0,3,49,75,127,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047688,east holmes local,NA,NA,NA,NA,108,NA,NA,NA,NA,0,3.125,67.96875,26.5625,0.0234375
OH,2018,047688,east holmes local,NA,NA,NA,NA,103,NA,NA,NA,NA,0,3.3000000000000003,58.7,38,0
OH,2019,047688,east holmes local,NA,NA,NA,NA,104,NA,NA,NA,NA,0,1.7,48.300000000000004,49.1,0.9
OH,2014,047696,west holmes local,0,19,97,43,159,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047696,west holmes local,NA,NA,NA,NA,139,NA,NA,NA,NA,0,3.333333,50,46.666666,0
OH,2018,047696,west holmes local,NA,NA,NA,NA,117,NA,NA,NA,NA,0,4.6000000000000005,39.5,55.9,0
OH,2019,047696,west holmes local,NA,NA,NA,NA,144,NA,NA,NA,NA,0,2,49,49,0
OH,2014,047712,monroeville local,0,5,22,19,46,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047712,monroeville local,NA,NA,NA,NA,47,NA,NA,NA,NA,0,19.565216999999997,67.39130399999999,13.043478,0
OH,2018,047712,monroeville local,NA,NA,NA,NA,45,NA,NA,NA,NA,0,8.5,74.5,17,0
OH,2019,047712,monroeville local,NA,NA,NA,NA,48,NA,NA,NA,NA,0,10.9,67.4,21.7,0
OH,2014,047720,new london local,3,16,42,4,65,0,0,0,0,NA,NA,NA,NA,NA
OH,2017,047720,new london local,NA,NA,NA,NA,65,NA,NA,NA,NA,0,3.1746030000000003,73.015873,23.809523,0
OH,2018,047720,new london local,NA,NA,NA,NA,68,NA,NA,NA,NA,0,6.6000000000000005,59,34.4,0
OH,2019,047720,new london local,NA,NA,NA,NA,62,NA,NA,NA,NA,0,5.2,48.300000000000004,46.6,0
OH,2014,047738,south central local,0,0,38,19,57,1,1,0,0,NA,NA,NA,NA,NA
