state,year,localid,name,e1,e2,e3,e4,et,e1_impute,e2_impute,e3_impute,e4_impute,p1,p2,p3,p4,ps
OH,2017,047951,south point local,NA,NA,NA,NA,95,NA,NA,NA,NA,0,1.8691579999999999,42.990654,54.205607,0.00934579
OH,2018,047951,south point local,NA,NA,NA,NA,95,NA,NA,NA,NA,0,2.9,45.7,50.5,1
OH,2019,047951,south point local,NA,NA,NA,NA,100,NA,NA,NA,NA,0,1,39,59,1
OH,2014,047969,symmes valley local,0,6,21,30,57,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047969,symmes valley local,NA,NA,NA,NA,61,NA,NA,NA,NA,0,0,16.129032,83.870967,0
OH,2018,047969,symmes valley local,NA,NA,NA,NA,61,NA,NA,NA,NA,0,0,16.1,83.9,0
OH,2019,047969,symmes valley local,NA,NA,NA,NA,63,NA,NA,NA,NA,0,0,19,77.8,3.2
OH,2014,047977,licking county esc,0,4,7,17,28,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,047985,johnstown-monroe local,0,17,48,35,100,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047985,johnstown-monroe local,NA,NA,NA,NA,101,NA,NA,NA,NA,0,7.9207920000000005,68.316831,23.762376,0
OH,2018,047985,johnstown-monroe local,NA,NA,NA,NA,101,NA,NA,NA,NA,0,8.700000000000001,68.3,23.1,0
OH,2019,047985,johnstown-monroe local,NA,NA,NA,NA,102,NA,NA,NA,NA,0,12.5,61.5,26,0
OH,2014,047993,lakewood local,0,12,49,75,136,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047993,lakewood local,NA,NA,NA,NA,134,NA,NA,NA,NA,0,0.735294,55.882352000000004,39.705881999999995,0.0367647
