state,name,localid,year,e1,e2,e3,e4,es,et
CT,andover,1,2014,NA,NA,NA,NA,31,31
CT,andover,1,2015,NA,NA,NA,NA,31,31
CT,ansonia,2,2014,0,NA,161,NA,7,168
CT,ansonia,2,2015,0,NA,171,NA,28,199
CT,ashford,3,2014,0,0,11,34,1,46
CT,ashford,3,2015,0,0,8,41,0,49
CT,avon,4,2014,0,0,236,33,10,279
CT,avon,4,2015,0,NA,43,NA,223,266
CT,berlin,7,2014,0,NA,206,NA,75,281
CT,berlin,7,2015,0,NA,167,NA,131,298
CT,bethany,8,2014,0,0,15,28,4,47
CT,bethany,8,2015,0,0,17,29,0,46
CT,bethel,9,2014,NA,NA,189,66,8,263
CT,bethel,9,2015,0,NA,196,NA,76,272
CT,bloomfield,11,2014,0,NA,NA,194,41,235
CT,bloomfield,11,2015,0,0,16,206,0,222
CT,bolton,12,2014,0,0,86,8,0,94
CT,bolton,12,2015,0,NA,58,NA,37,95
CT,bozrah,13,2014,NA,NA,NA,NA,26,26
CT,bozrah,13,2015,0,NA,15,NA,11,26
CT,barkhamsted,5,2014,NA,NA,NA,NA,25,25
CT,barkhamsted,5,2015,0,0,18,9,0,27
CT,branford,14,2014,NA,NA,193,93,13,299
CT,branford,14,2015,0,12,215,84,0,311
CT,bridgeport,15,2014,13,47,996,340,46,1429
CT,bridgeport,15,2015,NA,NA,1015,470,30,1515
CT,bristol,17,2014,0,NA,285,NA,165,450
CT,bristol,17,2015,NA,NA,250,419,7,675
CT,brookfield,18,2014,0,NA,176,NA,46,222
CT,brookfield,18,2015,0,NA,NA,118,93,211
CT,brooklyn,19,2014,NA,NA,NA,NA,73,73
CT,brooklyn,19,2015,NA,0,28,7,0,35
CT,canaan,21,2014,NA,NA,NA,NA,16,16
CT,canaan,21,2015,NA,NA,NA,NA,14,14
CT,canterbury,22,2014,NA,NA,NA,NA,46,46
CT,canterbury,22,2015,0,0,22,23,0,45
CT,canton,23,2014,0,0,104,30,2,136
CT,canton,23,2015,0,0,102,36,0,138
CT,chaplin,24,2014,NA,NA,NA,NA,24,24
CT,chaplin,24,2015,NA,NA,NA,NA,24,24
CT,cheshire,25,2014,0,0,122,254,0,376
CT,cheshire,25,2015,0,NA,NA,287,117,404
CT,chester,26,2014,0,0,9,8,11,28
CT,chester,26,2015,0,0,8,23,0,31
CT,clinton,27,2014,0,NA,NA,93,96,189
CT,clinton,27,2015,0,NA,NA,112,91,203
CT,colchester,28,2014,0,NA,160,NA,83,243
CT,colchester,28,2015,0,NA,130,NA,115,245
CT,colebrook,29,2014,NA,NA,NA,NA,14,14
CT,colebrook,29,2015,NA,NA,NA,NA,15,15
CT,columbia,30,2014,0,0,17,33,2,52
CT,columbia,30,2015,0,0,16,26,0,42
CT,cornwall,31,2014,NA,NA,NA,NA,16,16
CT,cornwall,31,2015,NA,NA,NA,NA,16,16
CT,coventry,32,2014,0,NA,35,NA,141,176
CT,coventry,32,2015,0,0,NA,85,79,164
CT,cromwell,33,2014,0,0,111,36,0,147
CT,cromwell,33,2015,0,NA,117,NA,60,177
CT,danbury,34,2014,0,NA,35,NA,141,176
CT,danbury,34,2015,NA,NA,702,160,27,889
CT,darien,35,2014,0,0,223,195,33,451
CT,darien,35,2015,NA,0,299,NA,176,475
CT,deep river,36,2014,NA,NA,NA,NA,33,33
CT,deep river,36,2015,0,0,16,18,0,34
CT,derby,37,2014,NA,NA,NA,NA,120,120
CT,derby,37,2015,0,0,107,13,0,120
CT,east granby,40,2014,0,0,55,23,2,80
CT,east granby,40,2015,0,0,51,42,0,93
CT,east haddam,41,2014,0,0,76,21,0,97
CT,east haddam,41,2015,0,NA,76,NA,37,113
CT,east hampton,42,2014,0,NA,29,NA,135,164
CT,east hampton,42,2015,0,NA,86,NA,77,163
CT,east hartford,43,2014,NA,NA,217,354,4,575
CT,east hartford,43,2015,0,NA,373,NA,306,679
CT,east haven,44,2014,0,0,221,45,0,266
CT,east haven,44,2015,0,NA,230,NA,58,288
CT,east lyme,45,2014,0,0,89,33,165,287
CT,east lyme,45,2015,0,NA,152,NA,135,287
CT,east windsor,47,2014,0,NA,59,NA,25,84
CT,east windsor,47,2015,0,NA,65,NA,43,108
CT,eastford,39,2014,0,0,9,9,1,19
CT,eastford,39,2015,NA,NA,NA,NA,17,17
CT,easton,46,2014,0,0,76,9,9,94
CT,easton,46,2015,NA,NA,87,NA,8,95
CT,ellington,48,2014,NA,NA,133,79,5,217
CT,ellington,48,2015,0,NA,124,NA,106,230
CT,enfield,49,2014,NA,NA,49,189,220,458
CT,enfield,49,2015,NA,NA,64,389,5,458
CT,essex,50,2014,0,0,20,10,26,56
CT,essex,50,2015,0,0,21,33,0,54
CT,fairfield,51,2014,0,NA,460,NA,441,901
CT,fairfield,51,2015,0,NA,583,NA,389,972
CT,farmington,52,2014,NA,NA,241,88,14,343
CT,farmington,52,2015,0,NA,272,NA,128,400
CT,franklin,53,2014,0,NA,NA,12,5,17
CT,franklin,53,2015,0,NA,11,NA,11,22
CT,glastonbury,54,2014,NA,NA,445,80,19,544
CT,glastonbury,54,2015,0,NA,388,NA,166,554
