name,e4,e3,e2,e1,eu,et,year,state,localid
South Gibson School Corporation,96,39,NA,NA,5,140,2016,IN,2765
South Gibson School Corporation,85,47,NA,NA,1,133,2017,IN,2765
South Gibson School Corporation,86,36,1,NA,6,129,2018,IN,2765
South Gibson School Corporation,95,26,NA,NA,5,126,2019,IN,2765
South Harrison Com Schools,50,142,8,0,23,223,2013,IN,3190
South Harrison Com Schools,58,135,NA,NA,24,217,2014,IN,3190
South Harrison Com Schools,64,162,2,NA,20,248,2015,IN,3190
South Harrison Com Schools,83,142,2,NA,20,247,2016,IN,3190
South Harrison Com Schools,96,100,2,NA,15,213,2017,IN,3190
South Harrison Com Schools,85,102,NA,NA,32,219,2018,IN,3190
South Harrison Com Schools,90,105,NA,NA,18,213,2019,IN,3190
South Henry School Corp,15,34,0,0,0,49,2013,IN,3415
South Henry School Corp,14,35,NA,1,3,53,2014,IN,3415
South Henry School Corp,26,32,NA,NA,8,66,2015,IN,3415
South Henry School Corp,16,20,NA,NA,NA,36,2016,IN,3415
South Henry School Corp,15,36,3,NA,6,60,2017,IN,3415
South Henry School Corp,7,42,1,NA,NA,50,2018,IN,3415
South Henry School Corp,7,47,2,NA,1,57,2019,IN,3415
South Knox School Corp,21,49,0,0,8,78,2013,IN,4325
South Knox School Corp,24,35,NA,NA,18,77,2014,IN,4325
South Knox School Corp,41,24,NA,NA,11,76,2015,IN,4325
South Knox School Corp,42,26,NA,NA,8,76,2016,IN,4325
South Knox School Corp,44,20,1,NA,9,74,2017,IN,4325
South Knox School Corp,48,17,NA,NA,12,77,2018,IN,4325
South Knox School Corp,51,11,NA,NA,13,75,2019,IN,4325
South Madison Com Sch Corp,150,110,NA,2,4,266,2015,IN,5255
South Madison Com Sch Corp,127,108,2,NA,5,242,2016,IN,5255
South Madison Com Sch Corp,166,64,4,NA,2,236,2017,IN,5255
South Madison Com Sch Corp,164,63,1,NA,1,229,2018,IN,5255
South Madison Com Sch Corp,193,55,1,2,5,256,2019,IN,5255
South Montgomery Com Sch Corp,67,48,1,0,0,116,2013,IN,5845
South Montgomery Com Sch Corp,80,51,NA,NA,6,137,2014,IN,5845
South Montgomery Com Sch Corp,83,68,NA,NA,1,152,2015,IN,5845
South Montgomery Com Sch Corp,65,62,1,NA,NA,128,2016,IN,5845
South Montgomery Com Sch Corp,63,60,3,NA,NA,126,2017,IN,5845
South Montgomery Com Sch Corp,56,52,1,NA,NA,109,2018,IN,5845
South Montgomery Com Sch Corp,78,47,NA,NA,5,130,2019,IN,5845
South Newton School Corp,28,31,2,0,15,76,2013,IN,5995
South Newton School Corp,38,27,2,NA,11,78,2014,IN,5995
South Newton School Corp,63,18,2,1,8,92,2015,IN,5995
South Newton School Corp,45,24,4,NA,16,89,2016,IN,5995
South Newton School Corp,43,23,1,3,6,76,2017,IN,5995
South Newton School Corp,40,28,1,4,3,76,2018,IN,5995
South Newton School Corp,47,19,NA,NA,7,73,2019,IN,5995
South Putnam Community Schools,30,50,1,0,1,82,2013,IN,6705
South Putnam Community Schools,33,45,NA,NA,2,80,2014,IN,6705
South Putnam Community Schools,62,45,NA,NA,1,108,2015,IN,6705
South Putnam Community Schools,63,31,NA,NA,12,106,2016,IN,6705
South Putnam Community Schools,59,24,2,NA,1,86,2017,IN,6705
South Putnam Community Schools,72,14,NA,NA,3,89,2018,IN,6705
South Putnam Community Schools,54,13,NA,NA,15,82,2019,IN,6705
South Ripley Com Sch Corp,35,49,1,0,2,87,2013,IN,6865
South Ripley Com Sch Corp,31,47,NA,NA,8,86,2014,IN,6865
South Ripley Com Sch Corp,60,78,NA,NA,20,158,2015,IN,6865
South Ripley Com Sch Corp,38,66,NA,NA,8,112,2016,IN,6865
South Ripley Com Sch Corp,35,43,NA,NA,8,86,2017,IN,6865
South Ripley Com Sch Corp,35,40,NA,NA,9,84,2018,IN,6865
South Ripley Com Sch Corp,38,37,NA,NA,8,83,2019,IN,6865
South Spencer County Sch Corp,0,0,0,0,98,98,2013,IN,7445
South Spencer County Sch Corp,14,71,2,NA,7,94,2014,IN,7445
South Spencer County Sch Corp,48,44,NA,NA,7,99,2015,IN,7445
South Spencer County Sch Corp,48,39,NA,NA,NA,87,2016,IN,7445
South Spencer County Sch Corp,35,48,1,NA,NA,84,2017,IN,7445
South Spencer County Sch Corp,17,47,NA,NA,17,81,2018,IN,7445
South Spencer County Sch Corp,27,49,NA,NA,8,84,2019,IN,7445
South Vermillion Com Sch Corp,21,114,0,0,7,142,2013,IN,8020
South Vermillion Com Sch Corp,41,88,2,NA,1,132,2014,IN,8020
South Vermillion Com Sch Corp,53,94,NA,NA,21,168,2015,IN,8020
South Vermillion Com Sch Corp,52,80,NA,NA,23,155,2016,IN,8020
South Vermillion Com Sch Corp,36,68,2,NA,22,128,2017,IN,8020
South Vermillion Com Sch Corp,43,71,1,NA,15,130,2018,IN,8020
South Vermillion Com Sch Corp,30,85,1,NA,15,131,2019,IN,8020
Southeast Dubois Co Sch Corp,29,55,0,0,0,84,2013,IN,2100
Southeast Dubois Co Sch Corp,50,29,NA,NA,8,87,2014,IN,2100
Southeast Dubois Co Sch Corp,59,27,NA,NA,5,91,2015,IN,2100
Southeast Dubois Co Sch Corp,51,35,NA,NA,3,89,2016,IN,2100
Southeast Dubois Co Sch Corp,46,31,1,NA,9,87,2017,IN,2100
Southeast Dubois Co Sch Corp,26,50,2,NA,13,91,2018,IN,2100
Southeast Dubois Co Sch Corp,36,49,4,NA,NA,89,2019,IN,2100
Southeast Fountain School Corp,48,42,0,0,0,90,2013,IN,2455
Southeast Fountain School Corp,38,45,2,NA,1,86,2014,IN,2455
Southeast Fountain School Corp,13,76,3,NA,6,98,2015,IN,2455
Southeast Fountain School Corp,23,58,NA,NA,4,85,2016,IN,2455
Southeast Fountain School Corp,28,51,1,NA,4,84,2017,IN,2455
Southeast Fountain School Corp,25,48,NA,NA,9,82,2018,IN,2455
Southeast Fountain School Corp,17,55,NA,NA,11,83,2019,IN,2455
Southeastern Career Center,22,5,1,0,1,29,2013,IN,6915
Southeastern School Corp,65,11,NA,NA,17,93,2015,IN,0815
Southeastern School Corp,57,30,NA,NA,9,96,2016,IN,0815
Southeastern School Corp,63,16,1,NA,11,91,2017,IN,0815
Southeastern School Corp,37,36,NA,NA,17,90,2018,IN,0815
Southeastern School Corp,39,42,NA,NA,10,91,2019,IN,0815
Southern Hancock Co Com Sch Corp,62,95,4,2,0,163,2013,IN,3115
Southern Hancock Co Com Sch Corp,69,88,3,NA,NA,160,2014,IN,3115
Southern Hancock Co Com Sch Corp,101,80,5,1,1,188,2015,IN,3115
Southern Hancock Co Com Sch Corp,78,94,5,NA,2,179,2016,IN,3115
Southern Hancock Co Com Sch Corp,125,73,NA,1,5,204,2017,IN,3115
Southern Hancock Co Com Sch Corp,141,68,NA,2,3,214,2018,IN,3115
Southern Hancock Co Com Sch Corp,136,82,2,NA,3,223,2019,IN,3115
Southern Wells Com Schools,14,31,0,0,0,45,2013,IN,8425
Southern Wells Com Schools,21,36,NA,NA,2,59,2014,IN,8425
Southern Wells Com Schools,16,35,NA,NA,9,60,2015,IN,8425
Southern Wells Com Schools,15,37,1,NA,7,60,2016,IN,8425
Southern Wells Com Schools,11,36,NA,NA,12,59,2017,IN,8425
Southern Wells Com Schools,10,45,NA,NA,4,59,2018,IN,8425
Southern Wells Com Schools,17,42,NA,NA,8,67,2019,IN,8425
Southside Sp Srvs Of Marion Co,13,29,0,1,5,48,2013,IN,5390
Southside Sp Srvs Of Marion Co,27,19,NA,NA,NA,46,2014,IN,5390
Southside Sp Srvs Of Marion Co,24,12,NA,NA,2,38,2015,IN,5390
Southside Sp Srvs Of Marion Co,16,27,NA,NA,1,44,2016,IN,5390
Southside Sp Srvs Of Marion Co,15,30,NA,NA,NA,45,2017,IN,5390
Southside Sp Srvs Of Marion Co,13,32,NA,NA,NA,45,2018,IN,5390
Southside Sp Srvs Of Marion Co,8,5,NA,NA,NA,13,2019,IN,5390
Southwest Dubois Co Sch Corp,25,82,2,0,0,109,2013,IN,2110
Southwest Dubois Co Sch Corp,54,52,NA,1,NA,107,2014,IN,2110
Southwest Dubois Co Sch Corp,26,88,NA,NA,8,122,2015,IN,2110
Southwest Dubois Co Sch Corp,33,84,NA,NA,9,126,2016,IN,2110
Southwest Dubois Co Sch Corp,30,79,NA,NA,2,111,2017,IN,2110
Southwest Dubois Co Sch Corp,46,64,NA,NA,NA,110,2018,IN,2110
Southwest Dubois Co Sch Corp,47,65,NA,NA,NA,112,2019,IN,2110
Southwest Parke Com Sch Corp,20,58,1,1,0,80,2013,IN,6260
Southwest Parke Com Sch Corp,22,50,NA,NA,8,80,2014,IN,6260
Southwest Parke Com Sch Corp,30,61,1,NA,9,101,2015,IN,6260
Southwest Parke Com Sch Corp,20,61,1,NA,11,93,2016,IN,6260
Southwest Parke Com Sch Corp,18,51,1,NA,13,83,2017,IN,6260
Southwest Parke Com Sch Corp,30,39,NA,NA,14,83,2018,IN,6260
Southwest Parke Com Sch Corp,28,50,NA,NA,6,84,2019,IN,6260
Southwest School Corp,64,40,NA,NA,1,105,2014,IN,7715
Southwest School Corp,86,19,1,NA,27,133,2015,IN,7715
Southwest School Corporation,7,NA,NA,NA,NA,7,2016,IN,7715
Southwest School Corporation,86,25,NA,NA,8,119,2017,IN,7715
Southwest School Corporation,82,38,1,NA,2,123,2018,IN,7715
Southwest School Corporation,87,30,NA,NA,15,132,2019,IN,7715
Southwestern Con Sch Shelby Co,7,37,0,0,6,50,2013,IN,7360
Southwestern Con Sch Shelby Co,7,37,1,NA,4,49,2014,IN,7360
Southwestern Con Sch Shelby Co,26,26,4,NA,2,58,2015,IN,7360
Southwestern Con Sch Shelby Co,18,27,1,NA,3,49,2016,IN,7360
Southwestern Con Sch Shelby Co,24,23,1,NA,1,49,2017,IN,7360
Southwestern Con Sch Shelby Co,10,36,NA,NA,NA,46,2018,IN,7360
Southwestern Con Sch Shelby Co,9,38,1,NA,1,49,2019,IN,7360
Southwestern-Jefferson Co Con,18,64,NA,NA,10,92,2014,IN,4000
Southwestern-Jefferson Co Con,19,87,1,NA,NA,107,2015,IN,4000
Southwestern-Jefferson Co Con,6,102,NA,NA,NA,108,2016,IN,4000
Southwestern-Jefferson Co Con,10,77,2,NA,NA,89,2017,IN,4000
Southwestern-Jefferson Co Con,15,74,NA,NA,1,90,2018,IN,4000
Southwestern-Jefferson Co Con,13,74,1,NA,NA,88,2019,IN,4000
Special Services - Johnson Co,42,29,1,0,14,86,2013,IN,4135
Special Services - Johnson Co,21,5,NA,NA,NA,26,2015,IN,4135
Special Services - Johnson Co,122,18,19,NA,NA,159,2016,IN,NA
Spencer-Owen Community Schools,49,102,2,4,1,158,2014,IN,6195
Spencer-Owen Community Schools,104,54,NA,NA,6,164,2015,IN,6195
Spencer-Owen Community Schools,75,39,2,NA,22,138,2016,IN,6195
Spencer-Owen Community Schools,61,50,1,NA,17,129,2017,IN,6195
Spencer-Owen Community Schools,74,69,1,NA,9,153,2018,IN,6195
Spencer-Owen Community Schools,82,70,NA,1,8,161,2019,IN,6195
Springs Valley Com School Corp,0,60,1,0,5,66,2013,IN,6160
Springs Valley Com School Corp,10,45,NA,NA,NA,55,2014,IN,6160
Springs Valley Com School Corp,22,46,NA,NA,1,69,2015,IN,6160
Springs Valley Com School Corp,2,58,NA,NA,5,65,2016,IN,6160
Springs Valley Com School Corp,6,47,NA,NA,3,56,2017,IN,6160
Springs Valley Com School Corp,22,33,2,NA,3,60,2018,IN,6160
Springs Valley Com School Corp,9,47,NA,1,8,65,2019,IN,6160
Success Academy Primary School,1,32,NA,NA,1,34,2016,IN,9960
Success Academy Primary School,3,25,2,NA,2,32,2017,IN,9960
Success Academy Primary School,4,31,7,NA,NA,42,2018,IN,9960
Success Academy Primary School,7,32,NA,1,4,44,2019,IN,9960
Sunman-Dearborn Com Sch Corp,117,104,9,3,3,236,2013,IN,1560
Sunman-Dearborn Com Sch Corp,156,77,1,1,3,238,2014,IN,1560
Sunman-Dearborn Com Sch Corp,214,83,NA,2,7,306,2015,IN,1560
Sunman-Dearborn Com Sch Corp,166,60,NA,NA,18,244,2016,IN,1560
Sunman-Dearborn Com Sch Corp,147,70,NA,NA,15,232,2017,IN,1560
Sunman-Dearborn Com Sch Corp,158,64,1,NA,3,226,2018,IN,1560
Sunman-Dearborn Com Sch Corp,100,115,NA,NA,18,233,2019,IN,1560
Switzerland County School Corp,0,108,0,0,0,108,2013,IN,7775
Switzerland County School Corp,27,61,NA,NA,10,98,2014,IN,7775
Switzerland County School Corp,43,80,NA,NA,NA,123,2015,IN,7775
Switzerland County School Corp,46,79,NA,NA,2,127,2016,IN,7775
Switzerland County School Corp,40,59,NA,NA,3,102,2017,IN,7775
Switzerland County School Corp,42,48,1,NA,12,103,2018,IN,7775
Switzerland County School Corp,39,51,NA,NA,10,100,2019,IN,7775
Taylor Community School Corp,NA,1,NA,NA,90,91,2015,IN,3460
Taylor Community School Corp,NA,NA,NA,NA,92,92,2016,IN,3460
Taylor Community School Corp,76,2,NA,NA,10,88,2017,IN,3460
Taylor Community School Corp,82,5,NA,NA,2,89,2018,IN,3460
Taylor Community School Corp,72,11,NA,NA,12,95,2019,IN,3460
Tell City-Troy Twp School Corp,22,77,1,NA,10,110,2014,IN,6350
Tell City-Troy Twp School Corp,22,78,NA,NA,12,112,2015,IN,6350
Tell City-Troy Twp School Corp,18,87,NA,NA,NA,105,2016,IN,6350
Tell City-Troy Twp School Corp,33,65,2,NA,4,104,2017,IN,6350
Tell City-Troy Twp School Corp,36,62,NA,NA,1,99,2019,IN,6350
The Bloomington Project School,14,NA,NA,NA,NA,14,2015,IN,9835
The Bloomington Project School,18,NA,NA,NA,3,21,2016,IN,9835
The Bloomington Project School,19,NA,NA,NA,NA,19,2017,IN,9835
The Bloomington Project School,19,NA,NA,NA,2,21,2018,IN,9835
The Bloomington Project School,17,1,1,NA,2,21,2019,IN,9835
The Excel Center - Anderson,NA,20,NA,NA,16,36,2014,IN,9750
The Excel Center - Kokomo,1,11,1,NA,19,32,2014,IN,9355
The Excel Center - Lafayette,NA,10,NA,1,19,30,2014,IN,9345
The Excel Center - Richmond,NA,12,3,NA,15,30,2014,IN,9305
The Excel Center-Lafayette Square,NA,10,2,NA,19,31,2014,IN,9335
Thea Bowman Leadership Academy,6,45,13,2,NA,66,2015,IN,9460
Thea Bowman Leadership Academy,3,52,12,2,NA,69,2016,IN,9460
Thea Bowman Leadership Academy,1,28,33,12,6,80,2017,IN,9460
Thea Bowman Leadership Academy,7,30,25,8,13,83,2018,IN,9460
Thea Bowman Leadership Academy,NA,25,12,NA,44,81,2019,IN,9460
Thurgood Marshall Leadership Acad,1,5,NA,NA,NA,6,2018,IN,9740
Thurgood Marshall Leadership Acad,NA,5,NA,NA,2,7,2019,IN,9740
Timothy L Johnson Academy,3,10,6,2,NA,21,2014,IN,9350
Timothy L Johnson Academy,NA,6,3,3,NA,12,2015,IN,9350
Timothy L Johnson Academy,6,5,4,NA,NA,15,2016,IN,9350
Timothy L Johnson Academy,3,7,3,1,2,16,2017,IN,9350
Timothy L Johnson Academy,6,8,1,NA,2,17,2018,IN,9350
Timothy L Johnson Academy,8,5,NA,NA,4,17,2019,IN,9350
Timothy L. Johnson Academy Middle,2,1,NA,NA,3,6,2019,IN,NA
Tindley Collegiate Academy,4,15,1,2,5,27,2014,IN,9940
Tindley Collegiate Academy,3,15,4,2,4,28,2015,IN,9940
Tindley Collegiate Academy,11,7,2,1,3,24,2016,IN,9940
Tindley Collegiate Academy,1,12,NA,NA,11,24,2017,IN,9940
Tindley Collegiate Academy,2,1,2,NA,23,28,2018,IN,9940
Tindley Genesis Academy,2,10,NA,NA,1,13,2016,IN,9425
Tindley Genesis Academy,2,9,NA,NA,6,17,2017,IN,9425
Tindley Genesis Academy,3,8,2,1,14,28,2018,IN,9425
Tindley Genesis Academy,5,8,1,NA,12,26,2019,IN,9425
Tindley Preparatory Academy,4,12,7,1,4,28,2014,IN,9745
Tindley Preparatory Academy,3,14,2,NA,6,25,2015,IN,9745
Tindley Preparatory Academy,1,14,1,NA,6,22,2016,IN,9745
Tindley Preparatory Academy,NA,6,NA,1,14,21,2017,IN,9745
Tindley Preparatory Academy,4,4,1,NA,15,24,2018,IN,9745
Tindley Renaissance Academy,1,19,1,NA,8,29,2014,IN,9945
Tindley Renaissance Academy,1,9,18,2,1,31,2015,IN,9945
Tindley Renaissance Academy,1,7,1,NA,20,29,2016,IN,9945
Tindley Renaissance Academy,3,19,4,1,7,34,2017,IN,9945
Tindley Renaissance Academy,1,18,6,NA,18,43,2018,IN,9945
Tindley Summit Academy,3,7,1,NA,3,14,2015,IN,9430
Tindley Summit Academy,2,12,2,NA,6,22,2016,IN,9430
Tindley Summit Academy,NA,6,7,1,9,23,2017,IN,9430
Tindley Summit Academy,NA,13,3,NA,11,27,2018,IN,9430
Tindley Summit Academy,NA,10,3,1,14,28,2019,IN,9430
Tippecanoe School Corp,276,416,6,1,0,699,2013,IN,7865
Tippecanoe School Corp,332,365,6,2,12,717,2014,IN,7865
Tippecanoe School Corp,450,300,5,NA,9,764,2015,IN,7865
Tippecanoe School Corp,473,292,4,NA,7,776,2016,IN,7865
Tippecanoe School Corp,508,234,5,3,6,756,2017,IN,7865
Tippecanoe School Corp,520,241,8,NA,17,786,2018,IN,7865
Tippecanoe School Corp,553,218,6,NA,23,800,2019,IN,7865
Tippecanoe Valley School Corp,25,106,2,2,2,137,2013,IN,4445
Tippecanoe Valley School Corp,30,101,2,2,1,136,2014,IN,4445
Tippecanoe Valley School Corp,29,113,NA,2,1,145,2015,IN,4445
Tippecanoe Valley School Corp,22,118,NA,1,2,143,2016,IN,4445
Tippecanoe Valley School Corp,22,114,1,1,6,144,2017,IN,4445
Tippecanoe Valley School Corp,33,99,2,NA,10,144,2018,IN,4445
Tippecanoe Valley School Corp,40,82,NA,NA,17,139,2019,IN,4445
Tipton Community School Corp,65,52,0,0,6,123,2013,IN,7945
Tipton Community School Corp,75,39,NA,1,3,118,2014,IN,7945
Tipton Community School Corp,72,47,1,1,1,122,2015,IN,7945
Tipton Community School Corp,65,53,2,NA,NA,120,2016,IN,7945
Tipton Community School Corp,72,44,2,NA,NA,118,2017,IN,7945
Tipton Community School Corp,71,29,NA,NA,19,119,2018,IN,7945
Tipton Community School Corp,74,34,1,NA,7,116,2019,IN,7945
Tri-Central Community Schools,NA,NA,NA,NA,58,58,2015,IN,7935
Tri-Central Community Schools,NA,NA,NA,NA,63,63,2016,IN,7935
Tri-Central Community Schools,30,27,1,1,1,60,2017,IN,7935
Tri-Central Community Schools,36,17,2,NA,4,59,2018,IN,7935
Tri-Central Community Schools,37,16,NA,NA,7,60,2019,IN,7935
Tri-County School Corp,53,4,1,4,8,70,2013,IN,8535
Tri-County School Corp,46,5,3,5,8,67,2014,IN,8535
Tri-County School Corporation,56,6,1,1,5,69,2015,IN,8535
Tri-County School Corporation,34,27,NA,NA,10,71,2016,IN,8535
Tri-County School Corporation,37,11,NA,2,11,61,2017,IN,8535
Tri-County School Corporation,34,21,1,NA,8,64,2018,IN,8535
Tri-County School Corporation,46,14,1,NA,1,62,2019,IN,8535
Tri-Creek School Corporation,28,145,2,NA,22,197,2014,IN,4645
Tri-Creek School Corporation,71,121,2,NA,4,198,2015,IN,4645
Tri-Creek School Corporation,59,102,1,1,8,171,2016,IN,4645
Tri-Creek School Corporation,83,64,NA,NA,27,174,2017,IN,4645
Tri-Creek School Corporation,93,61,3,NA,16,173,2018,IN,4645
Tri-Creek School Corporation,110,66,1,NA,8,185,2019,IN,4645
Tri-Township Cons School Corp,5,30,1,0,0,36,2013,IN,4915
Tri-Township Cons School Corp,13,16,1,NA,3,33,2014,IN,4915
Tri-Township Cons School Corp,5,33,1,NA,3,42,2015,IN,4915
Tri-Township Cons School Corp,14,24,NA,NA,NA,38,2016,IN,4915
Tri-Township Cons School Corp,3,29,NA,NA,3,35,2017,IN,4915
Tri-Township Cons School Corp,10,22,NA,NA,5,37,2018,IN,4915
Tri-Township Cons School Corp,NA,32,1,NA,4,37,2019,IN,4915
Triton School Corporation,21,42,2,0,0,65,2013,IN,5495
Triton School Corporation,35,30,1,NA,3,69,2014,IN,5495
Triton School Corporation,31,36,NA,NA,1,68,2015,IN,5495
Triton School Corporation,37,25,1,1,NA,64,2016,IN,5495
Triton School Corporation,38,25,NA,NA,NA,63,2017,IN,5495
Triton School Corporation,46,17,1,NA,NA,64,2018,IN,5495
Triton School Corporation,39,15,1,NA,8,63,2019,IN,5495
Twin Lakes School Corp,55,117,1,0,0,173,2013,IN,8565
Twin Lakes School Corp,104,56,2,4,2,168,2014,IN,8565
Twin Lakes School Corp,101,93,NA,3,1,198,2015,IN,8565
Twin Lakes School Corp,96,88,2,NA,1,187,2016,IN,8565
Twin Lakes School Corp,89,91,1,NA,NA,181,2017,IN,8565
Twin Lakes School Corp,38,140,NA,NA,NA,178,2018,IN,8565
Twin Lakes School Corp,79,93,1,1,2,176,2019,IN,8565
Twin Rivers Career & Tech Ed Area,NA,NA,NA,NA,NA,NA,2013,IN,1425
Union Co/Clg Corner Joint Sch Dist,34,100,2,0,0,136,2013,IN,7950
Union Co/Clg Corner Joint Sch Dist,52,56,1,NA,7,116,2014,IN,7950
Union Co/Clg Corner Joint Sch Dist,48,66,1,NA,4,119,2015,IN,7950
Union Co/Clg Corner Joint Sch Dist,35,97,3,NA,3,138,2016,IN,7950
Union Co/Clg Corner Joint Sch Dist,31,71,2,NA,7,111,2017,IN,7950
Union Co/Clg Corner Joint Sch Dist,52,52,2,NA,2,108,2018,IN,7950
Union Co/Clg Corner Joint Sch Dist,53,36,2,NA,17,108,2019,IN,7950
Union School Corporation,7,21,3,0,2,33,2013,IN,6795
Union School Corporation,11,17,2,NA,NA,30,2014,IN,6795
Union School Corporation,7,25,NA,NA,1,33,2015,IN,6795
Union School Corporation,NA,30,NA,NA,4,34,2016,IN,6795
Union School Corporation,2,27,1,NA,2,32,2017,IN,6795
Union School Corporation,NA,52,5,NA,4,61,2018,IN,6795
Union School Corporation,10,92,5,NA,22,129,2019,IN,6795
Union Township School Corp,40,43,0,0,15,98,2013,IN,6530
Union Township School Corp,49,44,NA,NA,NA,93,2014,IN,6530
Union Township School Corp,84,24,NA,NA,3,111,2015,IN,6530
Union Township School Corp,74,30,NA,NA,NA,104,2016,IN,6530
Union Township School Corp,73,13,NA,NA,9,95,2017,IN,6530
Union Township School Corp,70,17,NA,NA,10,97,2018,IN,6530
Union Township School Corp,76,9,1,NA,10,96,2019,IN,6530
Union-North United School Corp,12,59,3,0,14,88,2013,IN,7215
Union-North United School Corp,11,68,1,NA,2,82,2014,IN,7215
Union-North United School Corp,11,79,1,NA,NA,91,2015,IN,7215
Union-North United School Corp,3,89,2,NA,1,95,2016,IN,7215
Union-North United School Corp,10,70,1,NA,3,84,2017,IN,7215
Union-North United School Corp,10,64,NA,NA,10,84,2018,IN,7215
Union-North United School Corp,24,63,2,1,NA,90,2019,IN,7215
University Heights Preparatory Acd,8,7,6,NA,10,31,2014,IN,9480
Valparaiso Community Schools,14,17,1,1,368,401,2015,IN,6560
Valparaiso Community Schools,284,70,1,NA,37,392,2016,IN,6560
Valparaiso Community Schools,258,58,NA,NA,53,369,2017,IN,6560
Valparaiso Community Schools,307,24,NA,NA,56,387,2018,IN,6560
Valparaiso Community Schools,334,19,1,NA,31,385,2019,IN,6560
Vanguard Collegiate of Indy,4,3,NA,NA,1,8,2019,IN,NA
Veritas Academy,NA,10,1,NA,7,18,2014,IN,9360
Veritas Academy,NA,4,5,2,1,12,2016,IN,9360
Victory College Prep Academy,12,40,8,NA,15,75,2019,IN,NA
Vigo County School Corp,412,694,7,3,0,1116,2013,IN,8030
Vigo County School Corp,570,522,2,NA,10,1104,2014,IN,8030
Vigo County School Corp,639,372,4,NA,99,1114,2015,IN,8030
Vigo County School Corp,726,329,2,NA,68,1125,2016,IN,8030
Vigo County School Corp,793,182,2,NA,61,1038,2017,IN,8030
Vigo County School Corp,767,147,1,1,202,1118,2018,IN,8030
Vigo County School Corp,859,137,1,NA,17,1014,2019,IN,8030
Vincennes Community Sch Corp,27,146,13,4,5,195,2013,IN,4335
Vincennes Community Sch Corp,57,127,1,NA,12,197,2014,IN,4335
Vincennes Community School Corp,99,127,2,1,4,233,2015,IN,4335
Vincennes Community School Corp,70,150,6,2,NA,228,2016,IN,4335
Vincennes Community School Corp,45,142,3,1,3,194,2017,IN,4335
Vincennes Community School Corp,56,136,2,NA,8,202,2018,IN,4335
Vincennes Community School Corp,65,128,NA,6,3,202,2019,IN,4335
Vision Academy,5,6,NA,NA,3,14,2015,IN,9935
Vision Academy,2,12,5,3,4,26,2016,IN,9935
Vision Academy,NA,10,12,NA,8,30,2017,IN,9935
Vision Academy,2,14,6,1,10,33,2018,IN,9935
Vision Academy,9,21,4,NA,2,36,2019,IN,9935
Wa-Nee Community Schools,15,173,1,0,11,200,2013,IN,2285
Wa-Nee Community Schools,34,156,2,NA,12,204,2014,IN,2285
Wa-Nee Community Schools,60,148,NA,1,5,214,2015,IN,2285
Wa-Nee Community Schools,67,139,1,NA,4,211,2016,IN,2285
Wa-Nee Community Schools,64,116,1,NA,6,187,2017,IN,2285
Wa-Nee Community Schools,63,117,2,1,5,188,2018,IN,2285
Wa-Nee Community Schools,70,108,1,NA,12,191,2019,IN,2285
Wabash City Schools,54,34,4,0,18,110,2013,IN,8060
Wabash City Schools,61,22,2,NA,19,104,2014,IN,8060
Wabash City Schools,72,32,1,NA,16,121,2015,IN,8060
Wabash City Schools,67,35,NA,NA,18,120,2016,IN,8060
Wabash City Schools,68,24,1,NA,10,103,2017,IN,8060
Wabash City Schools,69,23,5,1,8,106,2018,IN,8060
Wabash City Schools,66,34,3,NA,2,105,2019,IN,8060
Warrick County School Corp,253,363,2,0,10,628,2013,IN,8130
Warrick County School Corp,428,173,2,1,16,620,2014,IN,8130
Warrick County School Corp,415,255,2,NA,9,681,2015,IN,8130
Warrick County School Corp,374,261,NA,NA,8,643,2016,IN,8130
Warrick County School Corp,449,172,4,NA,11,636,2017,IN,8130
Warrick County School Corp,475,155,2,NA,8,640,2018,IN,8130
Warrick County School Corp,486,131,NA,NA,27,644,2019,IN,8130
Warsaw Community Schools,146,336,4,3,11,500,2013,IN,4415
Warsaw Community Schools,235,250,10,2,16,513,2014,IN,4415
Warsaw Community Schools,292,218,NA,NA,69,579,2015,IN,4415
Warsaw Community Schools,293,270,1,NA,18,582,2016,IN,4415
Warsaw Community Schools,230,211,1,NA,77,519,2017,IN,4415
Warsaw Community Schools,487,4,2,1,11,505,2018,IN,4415
Warsaw Community Schools,304,184,1,NA,13,502,2019,IN,4415
Washington Com Schools,39,101,1,0,8,149,2013,IN,1405
Washington Com Schools,45,85,NA,NA,18,148,2014,IN,1405
Washington Community Schools,44,100,NA,NA,10,154,2015,IN,1405
Washington Community Schools,42,116,1,NA,6,165,2016,IN,1405
Washington Community Schools,37,109,1,NA,2,149,2017,IN,1405
Washington Community Schools,43,80,2,NA,1,126,2018,IN,1405
Washington Community Schools,49,89,1,NA,13,152,2019,IN,1405
Wawasee Community School Corp,19,155,10,0,51,235,2013,IN,4345
Wawasee Community School Corp,58,167,8,NA,5,238,2015,IN,4345
Wawasee Community School Corp,62,164,8,NA,8,242,2016,IN,4345
Wawasee Community School Corp,36,188,3,NA,8,235,2017,IN,4345
Wawasee Community School Corp,42,184,NA,NA,8,234,2018,IN,4345
Wawasee Community School Corp,38,187,1,NA,13,239,2019,IN,4345
Wes-Del Community Schools,7,58,0,0,4,69,2013,IN,1885
Wes-Del Community Schools,25,41,NA,1,1,68,2014,IN,1885
Wes-Del Community Schools,29,37,NA,NA,3,69,2015,IN,1885
