state,year,name,localid,et,e4,e3,e2,e1
MI,2012,buena vista school district,73080,51,0,51,0,0
MI,2012,bullock creek school district,56020,120,44,74,1,1
MI,2012,burr oak community school district,75020,28,6,10,10,2
MI,2012,burt township school district,2020,6,0,6,0,0
MI,2012,burton glen charter academy,25909,41,0,32,9,0
MI,2012,"business entrepreneurship, science, tech. academy",82980,27,14,13,0,0
MI,2012,byron area schools,78020,69,0,69,0,0
MI,2012,byron center charter school,41908,19,9,10,0,0
MI,2012,byron center public schools,41040,184,55,125,4,0
MI,2012,c.o.o.r. isd  - district created from isd,72000,16,4,12,0,0
MI,2012,cadillac area public schools,83010,209,40,167,2,0
MI,2012,caledonia community schools,41050,259,5,254,0,0
MI,2012,calhoun intermediate school district  - district created from isd,13000,71,26,38,5,2
MI,2012,camden-frontier school,30010,49,0,49,0,0
MI,2012,canton charter academy,82968,34,2,30,2,0
MI,2012,capac community schools,74040,80,0,80,0,0
MI,2012,carman-ainsworth community schools,25080,296,6,278,12,0
MI,2012,carney-nadeau public schools,55010,19,11,8,0,0
MI,2012,caro community schools,79020,106,11,90,3,2
MI,2012,carrollton public schools,73030,121,34,81,6,0
MI,2012,carson city-crystal area schools,59020,74,34,38,2,0
MI,2012,carsonville-port sanilac school district,76070,41,0,40,1,0
MI,2012,casa richard academy,82902,6,0,6,0,0
MI,2012,caseville public schools,32030,29,0,29,0,0
MI,2012,casman alternative academy,51903,8,0,7,0,1
MI,2012,cass city public schools,79030,64,15,49,0,0
MI,2012,cassopolis public schools,14010,67,0,67,0,0
MI,2012,cedar springs public schools,41070,189,180,7,1,1
MI,2012,center academy,25906,25,3,21,1,0
MI,2012,center for literacy and creativity,82949,6,0,5,0,1
MI,2012,center line public schools,50010,148,19,128,0,1
MI,2012,central academy,81902,32,0,32,0,0
MI,2012,central lake public schools,5035,24,0,24,0,0
MI,2012,central montcalm public schools,59125,112,19,93,0,0
MI,2012,centreville public schools,75030,65,35,30,0,0
MI,2012,cesar chavez academy,82918,120,10,108,0,2
MI,2012,chandler park academy,82923,107,47,52,3,5
MI,2012,chandler woods charter academy,41920,39,13,26,0,0
MI,2012,charlevoix montessori academy for the arts,15902,11,1,10,0,0
MI,2012,charlevoix public schools,15050,74,28,46,0,0
MI,2012,charlevoix-emmet isd  - district created from isd,15000,22,0,22,0,0
MI,2012,charlotte public schools,23030,173,1,163,6,3
MI,2012,charyl stockwell academy,47902,57,11,38,8,0
MI,2012,chassell township school district,31050,18,1,17,0,0
MI,2012,chatfield school,44901,25,5,18,2,0
MI,2012,cheb-otsego-presque isle esd  - district created from isd,16000,11,0,11,0,0
MI,2012,cheboygan area schools,16015,106,0,106,0,0
MI,2012,chelsea school district,81040,146,15,130,1,0
MI,2012,chesaning union schools,73110,95,23,65,6,1
MI,2012,chippewa hills school district,54025,127,48,74,2,3
MI,2012,chippewa valley schools,50080,789,564,225,0,0
MI,2012,church school district,32040,2,1,1,0,0
MI,2012,clara b. ford academy (sda),82996,24,0,21,1,2
MI,2012,clare public schools,18010,86,0,86,0,0
MI,2012,clare-gladwin regional education service district  - district created from isd,18000,18,0,18,0,0
MI,2012,clarenceville school district,63090,112,70,41,0,1
MI,2012,clarkston community school district,63190,466,239,224,1,2
MI,2012,clawson public schools,63270,135,0,134,1,0
MI,2012,climax-scotts community schools,39020,42,13,28,0,1
MI,2012,clinton community schools,46060,75,73,0,0,2
MI,2012,clinton county resa  - district created from isd,19000,20,0,20,0,0
MI,2012,clintondale community schools,50070,179,124,54,0,1
MI,2012,clio area school district,25150,169,0,169,0,0
MI,2012,coldwater community schools,12010,175,0,173,0,2
MI,2012,cole academy,33901,9,0,6,0,3
MI,2012,coleman community schools,56030,43,0,43,0,0
MI,2012,colfax township s/d #1f,32260,2,2,0,0,0
MI,2012,coloma community schools,11330,124,0,119,5,0
MI,2012,colon community school district,75040,42,29,11,0,2
MI,2012,columbia school district,38040,85,67,18,0,0
MI,2012,commonwealth community development academy,82919,19,9,8,0,2
MI,2012,comstock park public schools,41080,140,0,140,0,0
MI,2012,comstock public schools,39030,135,86,42,7,0
MI,2012,concord academy - boyne,15901,16,11,4,1,0
MI,2012,concord academy - petoskey,24901,24,0,23,1,0
MI,2012,concord community schools,38080,52,32,19,1,0
MI,2012,conner creek academy east,50902,68,39,25,2,2
MI,2012,constantine public school district,75050,87,1,85,0,1
MI,2012,coopersville area public school district,70120,128,13,114,1,0
MI,2012,copper country isd  - district created from isd,31000,12,3,8,1,0
MI,2012,corunna public schools,78100,140,0,140,0,0
MI,2012,countryside academy,11901,35,1,32,1,1
MI,2012,covenant house academy detroit,82991,10,0,10,0,0
MI,2012,covenant house academy east,82990,9,0,9,0,0
MI,2012,covenant house academy southwest,82989,9,0,9,0,0
MI,2012,covert public schools,80040,50,11,33,6,0
MI,2012,crawford ausable schools,20015,108,10,95,0,3
MI,2012,creative learning academy,26901,4,2,2,0,0
MI,2012,creative montessori academy,82969,32,0,31,0,1
MI,2012,creative technologies academy,41918,22,4,18,0,0
MI,2012,crescent academy,63921,37,2,34,0,1
MI,2012,crestwood school district,82230,193,35,156,0,2
MI,2012,cross creek charter academy,41916,38,1,37,0,0
MI,2012,crossroads charter academy,54901,53,31,20,2,0
MI,2012,croswell-lexington community schools,76080,135,3,131,1,0
MI,2012,da vinci institute,38901,25,2,22,0,1
MI,2012,dansville schools,33040,58,23,29,4,2
MI,2012,david ellis academy,82947,12,1,11,0,0
MI,2012,david ellis academy west,82994,39,0,37,0,2
MI,2012,davison community schools,25140,285,168,108,5,4
MI,2012,dearborn city school district,82030,1242,293,934,7,8
MI,2012,dearborn heights school district #7,82040,171,47,122,1,1
MI,2012,decatur public schools,80050,68,0,60,8,0
MI,2012,deckerville community school district,76090,36,0,35,1,0
MI,2012,delta-schoolcraft isd  - district created from isd,21000,28,19,8,1,0
MI,2012,delton kellogg schools,8010,93,25,67,1,0
MI,2012,detour area schools,17050,17,1,16,0,0
MI,2012,detour arts and technology academy,17903,9,1,8,0,0
MI,2012,detroit academy of arts and sciences,82929,56,40,15,1,0
MI,2012,detroit community schools,82925,61,0,61,0,0
MI,2012,detroit edison public school academy,82945,56,0,52,0,4
MI,2012,detroit enterprise academy,82979,40,0,19,21,0
MI,2012,detroit leadership academy,82722,19,6,12,1,0
MI,2012,detroit merit charter academy,82974,43,1,26,15,1
MI,2012,detroit midtown academy,82964,29,5,24,0,0
MI,2012,detroit premier academy,82985,39,2,21,14,2
MI,2012,detroit public schools community district,82015,3607,425,2772,310,100
MI,2012,detroit service learning academy,82953,55,1,49,0,5
MI,2012,detroit west preparatory academy,82909,22,4,15,1,2
MI,2012,dewitt public schools,19010,158,40,118,0,0
MI,2012,dexter community school district,81050,236,51,185,0,0
MI,2012,dickinson-iron isd  - district created from isd,22000,17,17,0,0,0
MI,2012,discovery arts and technology psa,82988,17,4,13,0,0
MI,2012,dollar bay-tamarack city area  k-12 school,31100,29,7,22,0,0
MI,2012,dove academy of detroit,82930,29,2,23,0,4
MI,2012,dowagiac union school district,14020,156,7,147,2,0
MI,2012,dr. charles drew academy,82984,27,0,25,0,2
MI,2012,dr. joseph f. pollack academic center of excellence,63910,47,25,18,0,4
MI,2012,dream academy,11905,10,0,7,0,3
MI,2012,dryden community schools,44050,37,0,37,0,0
MI,2012,dundee community schools,58050,89,0,87,2,0
MI,2012,durand area schools,78030,102,15,85,2,0
MI,2012,eagle crest charter academy,70906,43,21,21,1,0
MI,2012,east arbor charter academy,81910,30,0,27,3,0
MI,2012,east china school district,74050,284,3,279,0,2
MI,2012,east grand rapids public schools,41090,176,0,173,2,1
MI,2012,east jackson community schools,38090,75,1,74,0,0
MI,2012,east jordan public schools,15060,59,17,42,0,0
