MI School Data,
"Educator Effectiveness Snapshot
Statewide: 2015-16 / Teachers",
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2016-17,Bronson Community School District,District,12020,Teacher,59,40,18,1,58,1,0,68%,31%,98%,2%,2%,0%,
2016-17,Brown City Community Schools,District,76060,Teacher,52,9,42,1,51,1,0,17%,81%,98%,2%,2%,0%,
2016-17,Buchanan Community Schools,District,11310,Teacher,111,58,50,3,108,3,0,52%,45%,97%,3%,3%,0%,
2016-17,Buckley Community Schools,District,28035,Teacher,27,11,15,1,26,1,0,41%,56%,96%,4%,4%,0%,
2016-17,Bullock Creek School District,District,56020,Teacher,119,53,66,0,119,0,0,45%,55%,100%,0%,0%,0%,
2016-17,Burr Oak Community School District,District,75020,Teacher,28,20,6,2,26,2,0,71%,21%,93%,7%,7%,0%,
2016-17,Burt Township School District,District,02020,Teacher,8,4,4,0,8,0,0,50%,50%,100%,0%,0%,0%,
2016-17,Burton Glen Charter Academy,District,25909,Teacher,39,1,31,6,32,7,1,3%,79%,82%,15%,18%,3%,
2016-17,Byron Area Schools,District,78020,Teacher,57,36,18,3,54,3,0,63%,32%,95%,5%,5%,0%,
2016-17,Byron Center Charter School,District,41908,Teacher,21,16,5,0,21,0,0,76%,24%,100%,0%,0%,0%,
2016-17,Byron Center Public Schools,District,41040,Teacher,205,58,140,4,198,7,3,28%,68%,97%,2%,3%,1%,
2016-17,Cadillac Area Public Schools,District,83010,Teacher,183,13,167,3,180,3,0,7%,91%,98%,2%,2%,0%,
2016-17,Caledonia Community Schools,District,41050,Teacher,299,56,243,0,299,0,0,19%,81%,100%,0%,0%,0%,
2016-17,Camden-Frontier School,District,30010,Teacher,36,28,5,3,33,3,0,78%,14%,92%,8%,8%,0%,
2016-17,Canton Charter Academy,District,82968,Teacher,38,20,18,0,38,0,0,53%,47%,100%,0%,0%,0%,
2016-17,Capac Community Schools,District,74040,Teacher,58,0,58,0,58,0,0,0%,100%,100%,0%,0%,0%,
2016-17,Carman-Ainsworth Community Schools,District,25080,Teacher,256,33,218,5,251,5,0,13%,85%,98%,2%,2%,0%,
2016-17,Carney-Nadeau Public Schools,District,55010,Teacher,25,2,20,3,22,3,0,8%,80%,88%,12%,12%,0%,
2016-17,Caro Community Schools,District,79020,Teacher,99,23,76,0,99,0,0,23%,77%,100%,0%,0%,0%,
2016-17,Carrollton Public Schools,District,73030,Teacher,182,82,94,6,176,6,0,45%,52%,97%,3%,3%,0%,
2016-17,Carson City-Crystal Area Schools,District,59020,Teacher,64,17,44,3,61,3,0,27%,69%,95%,5%,5%,0%,
2016-17,Carsonville-Port Sanilac School District,District,76070,Teacher,31,11,19,1,30,1,0,35%,61%,97%,3%,3%,0%,
2016-17,Caseville Public Schools,District,32030,Teacher,20,7,13,0,20,0,0,35%,65%,100%,0%,0%,0%,
2016-17,Casman Alternative Academy,District,51903,Teacher,6,1,5,0,6,0,0,17%,83%,100%,0%,0%,0%,
2016-17,Cass City Public Schools,District,79030,Teacher,56,6,50,0,56,0,0,11%,89%,100%,0%,0%,0%,
2016-17,Cassopolis Public Schools,District,14010,Teacher,55,26,29,0,55,0,0,47%,53%,100%,0%,0%,0%,
2016-17,Cedar Springs Public Schools,District,41070,Teacher,190,135,50,0,185,5,5,71%,26%,97%,0%,3%,3%,
2016-17,Center Line Public Schools,District,50010,Teacher,159,38,121,0,159,0,0,24%,76%,100%,0%,0%,0%,
2016-17,Central Academy,District,81902,Teacher,33,4,29,0,33,0,0,12%,88%,100%,0%,0%,0%,
