MI School Data,
Educator Effectiveness Trend Statewide: 2018-19 / Teachers,
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Bad Axe Public Schools,District,32010,Teacher,74,1,73,0,74,0,0,1%,99%,100%,0%,0%,0%,
2011-12,Baldwin Community Schools,District,43040,Teacher,53,2,49,2,51,2,0,4%,92%,96%,4%,4%,0%,
2011-12,Bangor Public Schools (Van Buren),District,80020,Teacher,78,46,31,1,77,1,0,59%,40%,99%,1%,1%,0%,
2011-12,Bangor Township S/D #8,District,80240,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Bangor Township Schools,District,09030,Teacher,136,7,115,10,122,14,4,5%,85%,90%,7%,10%,3%,
2011-12,Baraga Area Schools,District,07020,Teacher,45,6,38,1,44,1,0,13%,84%,98%,2%,2%,0%,
2011-12,Bark River-Harris School District,District,21090,Teacher,42,26,14,0,40,2,2,62%,33%,95%,0%,5%,5%,
2011-12,Barry ISD  - District created from ISD,District,08000,Teacher,5,4,1,0,5,0,0,80%,20%,100%,0%,0%,0%,
2011-12,Bath Community Schools,District,19100,Teacher,60,17,40,2,57,3,1,28%,67%,95%,3%,5%,2%,
2011-12,Battle Creek Area Learning Center,District,13904,Teacher,13,3,9,1,12,1,0,23%,69%,92%,8%,8%,0%,
2011-12,Battle Creek Public Schools,District,13020,Teacher,403,143,245,15,388,15,0,35%,61%,96%,4%,4%,0%,
2011-12,Bay City Academy,District,09903,Teacher,12,12,0,0,12,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Bay City School District,District,09010,Teacher,448,87,349,10,436,12,2,19%,78%,97%,2%,3%,0%,
2011-12,Bay-Arenac Community High School,District,09901,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Bay-Arenac ISD  - District created from ISD,District,09000,Teacher,62,0,61,1,61,1,0,0%,98%,98%,2%,2%,0%,
2011-12,Beal City Public Schools,District,37040,Teacher,39,11,27,1,38,1,0,28%,69%,97%,3%,3%,0%,
2011-12,Bear Lake Schools,District,51020,Teacher,21,2,19,0,21,0,0,10%,90%,100%,0%,0%,0%,
2011-12,Beaver Island Community School,District,15010,Teacher,12,0,12,0,12,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Beaverton Rural Schools,District,26010,Teacher,76,22,49,5,71,5,0,29%,64%,93%,7%,7%,0%,
2011-12,Bedford Public Schools,District,58030,Teacher,255,1,252,2,253,2,0,0%,99%,99%,1%,1%,0%,
2011-12,Beecher Community School District,District,25240,Teacher,93,14,76,0,90,3,3,15%,82%,97%,0%,3%,3%,
2011-12,Belding Area School District,District,34080,Teacher,122,19,102,1,121,1,0,16%,84%,99%,1%,1%,0%,
2011-12,Bellaire Public Schools,District,05040,Teacher,31,0,31,0,31,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Bellevue Community Schools,District,23010,Teacher,40,3,33,3,36,4,1,8%,83%,90%,8%,10%,3%,
2011-12,Ben Ross Public School Academy,District,50910,Teacher,15,6,8,1,14,1,0,40%,53%,93%,7%,7%,0%,
2011-12,Bendle Public Schools,District,25060,Teacher,88,1,84,3,85,3,0,1%,95%,97%,3%,3%,0%,
2011-12,Bentley Community School District,District,25230,Teacher,45,6,39,0,45,0,0,13%,87%,100%,0%,0%,0%,
2011-12,Benton Harbor Area Schools,District,11010,Teacher,191,4,109,74,113,78,4,2%,57%,59%,39%,41%,2%,
2011-12,Benton Harbor Charter School Academy,District,11903,Teacher,26,0,26,0,26,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Benzie County Central Schools,District,10015,Teacher,108,70,37,0,107,1,1,65%,34%,99%,0%,1%,1%,
2011-12,Berkley School District,District,63050,Teacher,294,0,285,7,285,9,2,0%,97%,97%,2%,3%,1%,
2011-12,Berlin Township S/D #3,District,34140,Teacher,2,0,2,0,2,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Berrien RESA  - District created from ISD,District,11000,Teacher,53,0,53,0,53,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Berrien Springs Public Schools,District,11240,Teacher,145,11,130,4,141,4,0,8%,90%,97%,3%,3%,0%,
2011-12,Bessemer Area School District,District,27010,Teacher,32,4,26,0,30,2,2,13%,81%,94%,0%,6%,6%,
2011-12,Big Bay De Noc School District,District,21065,Teacher,17,4,10,3,14,3,0,24%,59%,82%,18%,18%,0%,
2011-12,Big Jackson School District,District,62470,Teacher,5,1,4,0,5,0,0,20%,80%,100%,0%,0%,0%,
2011-12,Big Rapids Public Schools,District,54010,Teacher,95,2,90,3,92,3,0,2%,95%,97%,3%,3%,0%,
2011-12,Bingham Arts Academy,District,04901,Teacher,16,8,7,0,15,1,1,50%,44%,94%,0%,6%,6%,
2011-12,Birch Run Area Schools,District,73170,Teacher,101,6,90,3,96,5,2,6%,89%,95%,3%,5%,2%,
2011-12,Birmingham Public Schools,District,63010,Teacher,612,0,604,4,604,8,4,0%,99%,99%,1%,1%,1%,
2011-12,Black River Public School,District,70904,Teacher,63,40,23,0,63,0,0,63%,37%,100%,0%,0%,0%,
2011-12,Blanche Kelso Bruce Academy,District,82971,Teacher,80,15,65,0,80,0,0,19%,81%,100%,0%,0%,0%,
2011-12,Blissfield Community Schools,District,46040,Teacher,75,18,54,3,72,3,0,24%,72%,96%,4%,4%,0%,
2011-12,Bloomfield Hills Schools,District,63080,Teacher,480,3,477,0,480,0,0,1%,99%,100%,0%,0%,0%,
2011-12,Bloomingdale Public School District,District,80090,Teacher,79,15,61,3,76,3,0,19%,77%,96%,4%,4%,0%,
2011-12,Blue Water Learning Academy,District,74906,Teacher,1,0,1,0,1,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Bois Blanc Pines School District,District,49020,Teacher,1,1,0,0,1,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Boyne City Public Schools,District,15020,Teacher,92,39,47,4,86,6,2,42%,51%,93%,4%,7%,2%,
2011-12,Boyne Falls Public School District,District,15030,Teacher,14,2,11,1,13,1,0,14%,79%,93%,7%,7%,0%,
2011-12,Bradford Academy,District,63917,Teacher,89,2,86,0,88,1,1,2%,97%,99%,0%,1%,1%,
2011-12,Branch ISD  - District created from ISD,District,12000,Teacher,37,18,18,0,36,1,1,49%,49%,97%,0%,3%,3%,
2011-12,Brandon School District in the Counties of Oakland and Lapeer,District,63180,Teacher,189,0,188,1,188,1,0,0%,99%,99%,1%,1%,0%,
2011-12,Brandywine Community Schools,District,11210,Teacher,106,55,51,0,106,0,0,52%,48%,100%,0%,0%,0%,
2011-12,Breckenridge Community Schools,District,29040,Teacher,49,1,48,0,49,0,0,2%,98%,100%,0%,0%,0%,
2011-12,Breitung Township School District,District,22030,Teacher,100,7,92,1,99,1,0,7%,92%,99%,1%,1%,0%,
2011-12,Bridge Academy,District,82983,Teacher,39,0,38,0,38,1,1,0%,97%,97%,0%,3%,3%,
2011-12,Bridgeport-Spaulding Community School District,District,73180,Teacher,96,28,66,0,94,2,2,29%,69%,98%,0%,2%,2%,
2011-12,Bridgman Public Schools,District,11340,Teacher,70,49,18,1,67,3,2,70%,26%,96%,1%,4%,3%,
2011-12,Brighton Area Schools,District,47010,Teacher,336,51,282,1,333,3,2,15%,84%,99%,0%,1%,1%,
2011-12,Brimley Area Schools,District,17140,Teacher,38,0,38,0,38,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Britton Deerfield Schools,District,46050,Teacher,51,0,50,1,50,1,0,0%,98%,98%,2%,2%,0%,
2011-12,Bronson Community School District,District,12020,Teacher,66,14,50,2,64,2,0,21%,76%,97%,3%,3%,0%,
2011-12,Brown City Community Schools,District,76060,Teacher,60,9,50,1,59,1,0,15%,83%,98%,2%,2%,0%,
2011-12,Buchanan Community Schools,District,11310,Teacher,95,58,32,5,90,5,0,61%,34%,95%,5%,5%,0%,
2011-12,Buckley Community Schools,District,28035,Teacher,28,9,19,0,28,0,0,32%,68%,100%,0%,0%,0%,
2011-12,Buena Vista School District,District,73080,Teacher,51,0,51,0,51,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Bullock Creek School District,District,56020,Teacher,120,44,74,1,118,2,1,37%,62%,98%,1%,2%,1%,
2011-12,Burr Oak Community School District,District,75020,Teacher,28,6,10,10,16,12,2,21%,36%,57%,36%,43%,7%,
2011-12,Burt Township School District,District,02020,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Burton Glen Charter Academy,District,25909,Teacher,41,0,32,9,32,9,0,0%,78%,78%,22%,22%,0%,
2011-12,"Business Entrepreneurship, Science, Tech. Academy",District,82980,Teacher,27,14,13,0,27,0,0,52%,48%,100%,0%,0%,0%,
2011-12,Byron Area Schools,District,78020,Teacher,69,0,69,0,69,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Byron Center Charter School,District,41908,Teacher,19,9,10,0,19,0,0,47%,53%,100%,0%,0%,0%,
2011-12,Byron Center Public Schools,District,41040,Teacher,184,55,125,4,180,4,0,30%,68%,98%,2%,2%,0%,
2011-12,C.O.O.R. ISD  - District created from ISD,District,72000,Teacher,16,4,12,0,16,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Cadillac Area Public Schools,District,83010,Teacher,209,40,167,2,207,2,0,19%,80%,99%,1%,1%,0%,
2011-12,Caledonia Community Schools,District,41050,Teacher,259,5,254,0,259,0,0,2%,98%,100%,0%,0%,0%,
